WhiteBall Number	Rate
16		0.0203658
41		0.0203658
40		0.0198715
20		0.019476
26		0.019476
12		0.0193772
49		0.0192783
39		0.0192783
42		0.0191794
22		0.0190806
5		0.0189817
13		0.0189817
19		0.0189817
14		0.0188828
30		0.0188828
28		0.018784
10		0.0186851
45		0.0186851
23		0.0186851
48		0.0185863
8		0.0183885
9		0.0183885
2		0.0181908
7		0.0181908
17		0.0179931
31		0.0178942
43		0.0177954
3		0.0176965
37		0.0175976
11		0.0175976
34		0.0174988
35		0.0174988
38		0.0174988
36		0.0173999
27		0.0173999
15		0.0173999
24		0.0172022
44		0.0171033
47		0.0170044
4		0.0168067
6		0.0167079
18		0.0167079
33		0.016609
1		0.0164113
29		0.0164113
25		0.0164113
46		0.0161147
21		0.0157192
52		0.0141374
50		0.0133465
51		0.0119624
53		0.0113693
54		0.0108749
55		0.010084
59		0.007217
57		0.00652496
56		0.0064261
58		0.0064261
64		0.00217499
69		0.00158181
62		0.00138408
61		0.00138408
67		0.00128522
63		0.00118636
66		0.00118636
68		0.00118636
60		0.000988631
65		0.000889768
0		0
PowerBall Number	Rate
2		0.0321305
6		0.0311419
17		0.0296589
23		0.0291646
14		0.0286703
11		0.028176
15		0.028176
18		0.028176
25		0.028176
8		0.0271873
1		0.026693
5		0.026693
24		0.026693
9		0.0261987
19		0.0261987
10		0.0247158
13		0.0247158
21		0.0247158
12		0.0237271
26		0.0237271
3		0.0232328
7		0.0232328
16		0.0232328
22		0.0227385
4		0.0207612
0		0
